Title,Title,Year,Budget,Revenue,Estimated Profit
70,Eternal Sunshine of the Spotless Mind,2004,"$30,985,177","$72,258,126","$41,272,949"
142,In the Name of the Father,1993,"$26,328,823","$65,796,862","$39,468,039"
239,The Nightmare Before Christmas,1993,"$36,455,294","$75,634,409","$39,179,115"
201,Dog Day Afternoon,1975,"$9,791,431","$46,665,856","$36,874,425"
136,Into the Wild,2007,"$21,171,904","$56,255,142","$35,083,238"
148,Stand by Me,1986,"$21,361,678","$52,287,414","$30,925,736"
106,Room,2015,"$7,408,455","$35,401,758","$27,993,303"
149,Hachi: A Dog's Tale,2009,"$21,825,978","$47,801,389","$25,975,411"
34,Rear Window,1954,"$10,879,368","$36,764,313","$25,884,945"
235,Blood Diamond,2006,"$145,166,170","$170,877,916","$25,711,746"
43,Memento,2000,"$15,295,557","$39,723,096","$24,427,539"
234,Sling Blade,1996,"$1,865,232","$24,444,121","$22,578,889"
72,Taxi Driver,1976,"$6,686,318","$28,262,574","$21,576,256"
172,The Last Picture Show,1971,"$9,393,864","$29,133,000","$19,739,136"
126,The Big Lebowski,1998,"$26,931,441","$46,189,568","$19,258,127"
176,Annie Hall,1977,"$19,317,161","$38,251,425","$18,934,264"
111,Casino,1995,"$99,856,036","$116,112,375","$16,256,339"
62,Reservoir Dogs,1992,"$2,503,107","$14,661,007","$12,157,900"
22,The Usual Suspects,1995,"$11,521,850","$23,341,568","$11,819,718"
206,Before Sunset,2004,"$4,182,998","$15,992,615","$11,809,617"
244,Big Fish,2003,"$111,336,141","$122,919,055","$11,582,914"
173,Gandhi,1982,"$66,719,274","$77,737,889","$11,018,615"
144,Hotel Rwanda,2004,"$27,112,030","$38,000,000","$10,887,970"
67,A Clockwork Orange,1971,"$15,897,308","$26,589,000","$10,691,692"
122,Trainspotting,1996,"$7,460,930","$16,491,080","$9,030,150"
36,Whiplash,2014,"$4,079,487","$13,092,000","$9,012,513"
113,The Elephant Man,1980,"$17,758,191","$26,010,864","$8,252,673"
57,Citizen Kane,1941,"$16,717,707","$23,217,674","$6,499,967"
140,Network,1976,"$19,544,622","$23,689,877","$4,145,255"
139,Life of Brian,1979,"$16,124,242","$20,045,115","$3,920,873"
59,Vertigo,1958,"$25,103,520","$28,000,000","$2,896,480"
83,Monty Python and the Holy Grail,1975,"$2,175,873","$5,028,948","$2,853,075"
76,Full Metal Jacket,1987,"$43,795,202","$46,357,676","$2,562,474"
110,"Lock, Stock and Two Smoking Barrels",1998,"$2,423,829","$3,897,569","$1,473,740"
68,Amadeus,1984,"$50,700,577","$51,973,029","$1,272,452"
132,Mary and Max,2009,"$805,153","$1,725,381","$920,228"
210,Dogville,2003,"$15,905,163","$16,680,836","$775,673"
167,Before Sunrise,1995,"$4,800,770","$5,535,405","$734,635"
212,High Noon,1952,"$8,061,816","$8,000,000","$-61,816"
64,Requiem for a Dream,2000,"$7,647,778","$7,390,108","$-257,670"
101,On the Waterfront,1954,"$9,900,224","$9,600,000","$-300,224"
245,Patton,1970,"$90,511,855","$89,800,000","$-711,855"
128,It Happened One Night,1934,"$7,097,975","$4,500,000","$-2,597,975"
5,12 Angry Men,1957,"$3,645,169","$1,000,000","$-2,645,169"
171,"Paris, Texas",1984,"$4,920,671","$2,181,987","$-2,738,684"
89,Some Like It Hot,1959,"$29,002,492","$25,000,000","$-4,002,492"
105,The Bridge on the River Kwai,1957,"$31,244,306","$27,200,000","$-4,044,306"
187,Roman Holiday,1953,"$16,441,292","$12,000,000","$-4,441,292"
81,The Apartment,1960,"$29,660,979","$25,000,000","$-4,660,979"
29,Casablanca,1942,"$15,763,870","$10,462,500","$-5,301,370"
221,Notorious,1946,"$30,015,897","$24,464,742","$-5,551,155"
100,Chinatown,1974,"$35,617,241","$30,000,000","$-5,617,241"
165,Touch of Evil,1958,"$8,394,844","$2,247,465","$-6,147,379"
69,To Kill a Mockingbird,1962,"$19,381,125","$13,129,846","$-6,251,279"
151,The Maltese Falcon,1941,"$7,465,688","$1,000,000","$-6,465,688"
194,Strangers on a Train,1951,"$13,507,153","$7,000,000","$-6,507,153"
47,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"$16,992,870","$9,440,272","$-7,552,598"
84,Scarface,1983,"$73,457,580","$65,884,703","$-7,572,877"
156,The Best Years of Our Lives,1946,"$31,516,692","$23,650,000","$-7,866,692"
178,Donnie Darko,2001,"$9,914,906","$1,270,522","$-8,644,384"
246,The Lost Weekend,1945,"$20,323,263","$11,000,000","$-9,323,263"
114,Warrior,2011,"$32,526,040","$23,057,115","$-9,468,925"
9,Fight Club,1999,"$110,667,857","$100,853,753","$-9,814,104"
124,Cool Hand Luke,1967,"$26,286,377","$16,217,773","$-10,068,604"
161,The Princess Bride,1987,"$41,219,014","$30,857,814","$-10,361,200"
217,The Hustler,1961,"$19,575,585","$7,600,000","$-11,975,585"
27,American History X,1998,"$35,908,588","$23,875,127","$-12,033,461"
117,Dial M for Murder,1954,"$15,231,115","$3,000,000","$-12,231,115"
214,A Streetcar Named Desire,1951,"$20,260,730","$8,000,000","$-12,260,730"
184,Cat on a Hot Tin Roof,1958,"$30,379,411","$17,570,324","$-12,809,087"
63,Double Indemnity,1944,"$15,418,628","$2,500,000","$-12,918,628"
99,The Gold Rush,1925,"$15,435,460","$2,500,000","$-12,935,460"
229,Pink Floyd: The Wall,1982,"$36,392,331","$22,244,207","$-14,148,124"
181,Laura,1944,"$16,960,687","$2,000,000","$-14,960,687"
227,Rope,1948,"$18,215,041","$2,200,000","$-16,015,041"
45,Sunset Boulevard,1950,"$21,275,168","$5,000,000","$-16,275,168"
236,Magnolia,1999,"$64,995,408","$48,451,803","$-16,543,605"
82,All About Eve,1950,"$17,000,705","$63,463","$-16,937,242"
123,The Deer Hunter,1978,"$67,328,604","$50,000,000","$-17,328,604"
94,Judgment at Nuremberg,1961,"$29,363,377","$10,000,000","$-19,363,377"
75,2001: A Space Odyssey,1968,"$88,301,077","$68,700,000","$-19,601,077"
71,Singin' in the Rain,1952,"$28,059,540","$7,200,000","$-20,859,540"
121,Rebecca,1940,"$26,924,259","$6,000,000","$-20,924,259"
1,The Shawshank Redemption,1994,"$49,368,252","$28,341,469","$-21,026,783"
102,Mr. Smith Goes to Washington,1939,"$31,581,474","$9,600,000","$-21,981,474"
51,Witness for the Prosecution,1957,"$31,244,306","$9,000,000","$-22,244,306"
180,The Man Who Shot Liberty Valance,1962,"$31,009,801","$8,000,000","$-23,009,801"
50,The Shining,1980,"$67,481,128","$44,017,374","$-23,463,754"
185,The Wizard of Oz,1939,"$58,467,837","$33,754,967","$-24,712,870"
213,Papillon,1973,"$79,095,945","$53,267,000","$-25,828,945"
96,The Great Escape,1963,"$38,255,555","$11,744,471","$-26,511,084"
58,North by Northwest,1959,"$40,227,491","$13,275,000","$-26,952,491"
25,City Lights,1931,"$28,880,427","$19,181","$-28,861,246"
3,The Godfather: Part II,1974,"$77,170,689","$47,542,841","$-29,627,848"
44,The Great Dictator,1940,"$41,807,857","$11,000,000","$-30,807,857"
190,Who's Afraid of Virginia Woolf?,1966,"$67,744,212","$33,736,689","$-34,007,523"
42,Apocalypse Now,1979,"$126,978,409","$89,460,381","$-37,518,028"
20,It's a Wonderful Life,1946,"$47,725,276","$9,644,124","$-38,081,152"
174,Barry Lyndon,1975,"$59,836,524","$20,000,000","$-39,836,524"
95,Raging Bull,1980,"$63,929,490","$23,000,000","$-40,929,490"
87,The Treasure of the Sierra Madre,1948,"$46,144,771","$4,307,000","$-41,837,771"
242,The Wild Bunch,1969,"$49,791,915","$638,641","$-49,153,274"
109,Blade Runner,1982,"$84,915,440","$33,139,618","$-51,775,822"
65,Lawrence of Arabia,1962,"$145,358,443","$69,995,385","$-75,363,058"
127,The Thing,1982,"$106,144,300","$28,128,670","$-78,015,630"
